state,risk_tor
Alabama,4.043478260869565
Arizona,1.711111111111111
Arkansas,4.0
California,1.7647058823529411
Colorado,2.125
Connecticut,2.6470588235294117
Delaware,2.1666666666666665
District of Columbia,5.0
Florida,2.8380952380952382
Georgia,3.0
Idaho,1.3
Illinois,3.2222222222222223
Indiana,3.3214285714285716
Iowa,4.0
Kansas,3.823529411764706
Kentucky,3.340909090909091
Louisiana,3.3333333333333335
Maine,2.5
Maryland,2.526315789473684
Massachusetts,2.0689655172413794
Michigan,2.7674418604651163
Minnesota,3.5714285714285716
Mississippi,3.888888888888889
Missouri,3.689655172413793
Montana,2.4285714285714284
Nebraska,4.666666666666667
Nevada,1.6956521739130435
New Hampshire,2.0
New Jersey,2.6129032258064515
New Mexico,2.1
New York,2.234567901234568
North Carolina,2.7818181818181817
North Dakota,3.3
Ohio,3.0757575757575757
Oklahoma,4.111111111111111
Oregon,1.9230769230769231
Pennsylvania,2.6323529411764706
Rhode Island,1.6666666666666667
South Carolina,3.090909090909091
South Dakota,3.2
Tennessee,3.5
Texas,3.016260162601626
Utah,2.0
Vermont,2.0
Virginia,2.6285714285714286
Washington,1.75
West Virginia,2.3333333333333335
Wisconsin,2.7142857142857144
Wyoming,2.0
